,App,Category,Rating,Reviews,Size,Installs,Type,Content Rating,Genres,Initialrelease
0,Photo Editor & Candy Camera & Grid & ScrapBook,BEAUTY,4.1,159,19M,35818,Paid,Youth,Art & Design,2019
1,Coloring book moana,BEAUTY,3.9,967,14M,40696,Paid,Youth,Art & Design;Pretend Play,2019
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",BEAUTY,4.7,87510,8.7M,47628,Paid,Youth,Art & Design,2019
3,Sketch - Draw & Paint,BEAUTY,4.5,215644,25M,42972,Paid,Teen,Art & Design,2019
4,Pixel Draw - Number Art Coloring Book,BEAUTY,4.3,967,2.8M,46426,Paid,Youth,Art & Design;Creativity,2019
5,Paper flowers instructions,BEAUTY,4.4,167,5.6M,27390,Paid,Youth,Art & Design,2019
6,Smoke Effect Photo Maker - Smoke Editor,BEAUTY,3.8,178,19M,47583,Paid,Youth,Art & Design,2019
7,Infinite Painter,BEAUTY,4.1,36815,29M,43389,Paid,Youth,Art & Design,2019
8,Garden Coloring Book,BEAUTY,4.4,13791,33M,12141,Paid,Youth,Art & Design,2019
9,Kids Paint Free - Drawing Fun,BEAUTY,4.7,121,3.1M,40629,Paid,Youth,Art & Design;Creativity,2019
10,Text on Photo - Fonteee,BEAUTY,4.4,13880,28M,26467,Paid,Youth,Art & Design,2019
11,Name Art Photo Editor - Focus n Filters,BEAUTY,4.4,8788,12M,31735,Paid,Youth,Art & Design,2019
12,Tattoo Name On My Photo Editor,BEAUTY,4.2,44829,20M,43109,Paid,Teen,Art & Design,2019
13,Mandala Coloring Book,BEAUTY,4.6,4326,21M,24659,Paid,Youth,Art & Design,2019
14,3D Color Pixel by Number - Sandbox Art Coloring,BEAUTY,4.4,1518,37M,40825,Paid,Youth,Art & Design,2019
15,Learn To Draw Kawaii Characters,BEAUTY,3.2,55,2.7M,32121,Paid,Youth,Art & Design,2019
16,Photo Designer - Write your name with shapes,BEAUTY,4.7,3632,5.5M,29869,Paid,Youth,Art & Design,2019
17,350 Diy Room Decor Ideas,BEAUTY,4.5,27,17M,23604,Paid,Youth,Art & Design,2019
18,FlipaClip - Cartoon animation,BEAUTY,4.3,194216,39M,29331,Paid,Youth,Art & Design,2019
19,ibis Paint X,BEAUTY,4.6,224399,31M,30696,Paid,Youth,Art & Design,2019
20,Logo Maker - Small Business,BEAUTY,4,450,14M,31423,Paid,Youth,Art & Design,2019
21,Boys Photo Editor - Six Pack & Men's Suit,BEAUTY,4.1,654,12M,27358,Paid,Youth,Art & Design,2019
22,Superheroes Wallpapers | 4K Backgrounds,BEAUTY,4.7,7699,4.2M,33099,Paid,Youth,Art & Design,2019
23,Mcqueen Coloring pages,BEAUTY,3.2,61,7.0M,32766,Paid,Youth,Art & Design;Action & Adventure,2019
24,HD Mickey Minnie Wallpapers,BEAUTY,4.7,118,23M,31653,Paid,Youth,Art & Design,2019
25,Harley Quinn wallpapers HD,BEAUTY,4.8,192,6.0M,27900,Paid,Youth,Art & Design,2019
26,Colorfit - Drawing & Coloring,BEAUTY,4.7,20260,25M,36052,Paid,Youth,Art & Design;Creativity,2019
27,Animated Photo Editor,BEAUTY,4.1,203,6.1M,22302,Paid,Youth,Art & Design,2019
28,Pencil Sketch Drawing,BEAUTY,3.9,136,4.6M,42059,Paid,Youth,Art & Design,2019
29,Easy Realistic Drawing Tutorial,BEAUTY,4.1,223,4.2M,22003,Paid,Youth,Art & Design,2019
30,Pink Silver Bow Keyboard Theme,BEAUTY,4.2,1120,9.2M,42457,Paid,Youth,Art & Design,2019
